EPE,ENE
0.0,0.0
37.34462458044229,-1.1602501293619023
39.784735263630736,-3.126298968764772
41.34664937165671,-5.000881615533429
42.8762564737553,-6.677510702953252
42.69615339007673,-8.528647907886308
43.74555999290767,-9.172525188944967
44.829467162492776,-10.390829533315438
45.57958568264932,-11.144387997476525
46.49442455968894,-12.07699726829052
46.00662115360025,-12.589197823106414
46.30800930289517,-13.362705039739508
46.80177456357441,-14.083849630102259
45.853608252326424,-13.687190130883522
46.65050078147513,-14.038277032589193
46.902011320178524,-13.940352484086029
45.63441798853528,-13.556971237875505
45.18223378838194,-13.382914876334643
43.811449608240764,-13.004442295838274
42.242676258863995,-12.592809241383312
41.63014871095595,-12.252122968902757
40.74473508064756,-12.196155785973222
38.885136019048254,-11.668968992117035
37.26918010301292,-11.302898501555434
35.483766315992895,-10.883812846643004
34.60901104288681,-10.150177493538731
32.44710667572005,-9.952133418363447
30.177798554972174,-9.276276392098842
27.9768316873754,-8.850958491980535
25.98001679223769,-8.042681358112512
23.37946464805611,-7.274890435730765
20.96472069878951,-6.79901622053271
18.648333974115292,-5.8806927240463205
15.806947732483634,-4.965992451900993
12.892534196817538,-4.0142008767217465
9.844680395212114,-3.0843174825798534
6.621344270118481,-2.0777348298190503
0.0,-3.6791946685150254
0.0,0.0
0.0,0.0
0.0,0.0
